   1.7500000e+02	   1.1500000e+02	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   3.6563636e+02	   4.6653636e+03	   0.0000000e+00	   1.1195909e+04	   4.5553636e+03	
   2.8748880e+02	   3.6682342e+03	   0.0000000e+00	   8.8030044e+03	   3.5817445e+03	
   1.9373535e+02	   2.4719802e+03	   0.0000000e+00	   5.9322419e+03	   2.4136958e+03	
   1.0553707e+02	   1.3466079e+03	   0.0000000e+00	   3.2315808e+03	   1.3148576e+03	
   4.7518426e+01	   6.0631479e+02	   0.0000000e+00	   1.4550303e+03	   5.9201910e+02	
   1.9077228e+01	   2.4341727e+02	   0.0000000e+00	   5.8415118e+02	   2.3767798e+02	
   7.2636614e+00	   9.2681213e+01	   0.0000000e+00	   2.2241577e+02	   9.0495974e+01	
