1,30.316641,-89.598255,1782,0
2,30.306297,-89.37854,41095,0
3,30.409083,-89.435052,10331,0
4,30.36742,-89.092816,101150,0
5,30.635287,-89.13085,10980,0
6,30.394236,-88.894299,102591,0
7,30.371402,-88.548596,42638,0
8,30.439457,-88.543956,36249,0
9,30.540881,-88.687652,14247,0
10,30.653521,-88.491943,1551,0
11,30.306211,-89.741336,134512,0
12,30.742386,-89.772021,0,1
13,30.726002,-89.51654,0,1
14,30.745847,-89.135292,0,1
15,30.734415,-88.918084,0,1
16,30.739137,-88.74093,0,1
17,30.740317,-88.598107,0,1
18,30.827305,-88.377977,0,1
19,30.470432,-89.687692,0,1
20,30.543742,-89.649361,0,1
21,30.359622,-89.423684,0,1
22,30.614813,-89.406937,0,1
23,30.432173,-89.093506,0,1
24,30.501109,-89.106467,0,1
25,30.55393,-89.026281,0,1
26,30.444707,-89.031412,0,1
27,30.382781,-89.026801,0,1
28,30.453604,-88.896362,0,1
29,30.486204,-88.912767,0,1
30,30.405004,-88.721236,0,1
31,30.444082,-88.716429,0,1
32,30.525421,-88.54284,0,1
33,30.643054,-88.567559,0,1
